Coffee Shop,Rating,Review Count,City,Neighborhood,Place ID,Google Maps Link,Types,Hours
Station 11 coffee,4.9,31,Atlanta,Midtown Atlanta,ChIJby6hxO4F9YgRf-HhIV0nebM,https://maps.google.com/?cid=12932411085924983167&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"restaurant, food, point_of_interest, establishment",Monday: 8:00 AM – 3:00 PM | Tuesday: 8:00 AM – 3:00 PM | Wednesday: 8:00 AM – 3:00 PM | Thursday: 8:00 AM – 3:00 PM | Friday: 8:00 AM – 3:00 PM | Saturday: 9:00 AM – 3:00 PM | Sunday: 9:00 AM – 3:00 PM
Apotheos Coffee Midtown,4.6,127,Atlanta,Midtown Atlanta,ChIJPSqLR9AF9YgR0bYUfn3GZ6w,https://maps.google.com/?cid=12423116339413300945&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"coffee_shop, cafe, food_store, store, food, point_of_interest, establishment",Monday: 7:00 AM – 7:00 PM | Tuesday: 7:00 AM – 7:00 PM | Wednesday: 7:00 AM – 7:00 PM | Thursday: 7:00 AM – 7:00 PM | Friday: 7:00 AM – 4:00 PM | Saturday: Closed | Sunday: Closed
Foxtail Coffee Co.,4.8,48,Atlanta,Midtown Atlanta,ChIJqxX9WPgF9YgR8j-sffrjhFU,https://maps.google.com/?cid=6162300855139450866&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"coffee_shop, cafe, food_store, food, store, point_of_interest, establishment",Monday: 6:00 AM – 6:00 PM | Tuesday: 6:00 AM – 6:00 PM | Wednesday: 6:00 AM – 6:00 PM | Thursday: 6:00 AM – 6:00 PM | Friday: 6:00 AM – 6:00 PM | Saturday: 6:00 AM – 6:00 PM | Sunday: 6:00 AM – 6:00 PM
Schāf Shop,4.9,116,Atlanta,Midtown Atlanta,ChIJ9UVFXcUF9YgRxN6gpd9qq5U,https://maps.google.com/?cid=10784831241457819332&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"coffee_shop, cafe, food_store, food, sporting_goods_store, store, point_of_interest, establishment",Monday: 7:00 AM – 5:00 PM | Tuesday: 7:00 AM – 5:00 PM | Wednesday: 7:00 AM – 5:00 PM | Thursday: 7:00 AM – 5:00 PM | Friday: 7:00 AM – 5:00 PM | Saturday: 9:00 AM – 5:00 PM | Sunday: 9:00 AM – 5:00 PM
Daydreamer Coffee 859,4.3,154,Atlanta,Midtown Atlanta,ChIJT9zIslIF9YgRDkyUb3OQd_Q,https://maps.google.com/?cid=17615707292950613006&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"coffee_shop, cafe, food_store, food, store, point_of_interest, establishment",Monday: 8:00 AM – 2:00 PM | Tuesday: 8:00 AM – 2:00 PM | Wednesday: 8:00 AM – 2:00 PM | Thursday: 8:00 AM – 2:00 PM | Friday: 8:00 AM – 2:00 PM | Saturday: 8:00 AM – 2:00 PM | Sunday: 8:00 AM – 2:00 PM
Spiller Park Coffee 999,4.2,52,Atlanta,Midtown Atlanta,ChIJYUb6404F9YgRFzKI2rs9B4U,https://maps.google.com/?cid=9585698208915927575&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"cafe, food, point_of_interest, establishment",Monday: 7:00 AM – 6:00 PM | Tuesday: 7:00 AM – 6:00 PM | Wednesday: 7:00 AM – 6:00 PM | Thursday: 7:00 AM – 6:00 PM | Friday: 7:00 AM – 6:00 PM | Saturday: 8:00 AM – 6:00 PM | Sunday: 8:00 AM – 6:00 PM
Café Intermezzo (Midtown),4.5,5943,Atlanta,Midtown Atlanta,ChIJicBn_aoF9YgRya-jWCHOmB0,https://maps.google.com/?cid=2132681066176294857&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"cafe, european_restaurant, coffee_shop, dessert_shop, confectionery, restaurant, food_store, store, food, point_of_interest, establishment",Monday: 9:00 AM – 12:00 AM | Tuesday: 9:00 AM – 12:00 AM | Wednesday: 9:00 AM – 12:00 AM | Thursday: 9:00 AM – 12:00 AM | Friday: 9:00 AM – 1:00 AM | Saturday: 9:00 AM – 1:00 AM | Sunday: 9:00 AM – 12:00 AM
Dancing Goats Coffee Bar (Midtown),4.5,1013,Atlanta,Midtown Atlanta,ChIJsZEJ9mcE9YgRDTcnhgVcVaI,https://maps.google.com/?cid=11697356785960040205&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"coffee_shop, cafe, food_store, food, store, point_of_interest, establishment",Monday: 6:30 AM – 7:00 PM | Tuesday: 6:30 AM – 7:00 PM | Wednesday: 6:30 AM – 7:00 PM | Thursday: 6:30 AM – 7:00 PM | Friday: 6:30 AM – 7:00 PM | Saturday: 7:00 AM – 7:00 PM | Sunday: 7:00 AM – 7:00 PM
Haraz Coffee House,4.7,186,Atlanta,Midtown Atlanta,ChIJLyiPZGcE9YgR4YS29YMCvAU,https://maps.google.com/?cid=413208031597593825&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"coffee_shop, cafe, dessert_shop, confectionery, food_store, food, store, point_of_interest, establishment",Monday: 8:00 AM – 10:00 PM | Tuesday: 8:00 AM – 10:00 PM | Wednesday: 8:00 AM – 10:00 PM | Thursday: 8:00 AM – 10:00 PM | Friday: 8:00 AM – 12:00 AM | Saturday: 8:00 AM – 12:00 AM | Sunday: 8:00 AM – 10:00 PM
Larakin Wine & Coffee,4.6,256,Atlanta,Midtown Atlanta,ChIJ1d0S3aQF9YgRtCdQqVEno3I,https://maps.google.com/?cid=8260489373214058420&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"coffee_shop, wine_bar, cafe, bar, food_store, store, point_of_interest, food, establishment",Monday: 8:00 AM – 2:00 PM | Tuesday: 8:00 AM – 2:00 PM | Wednesday: 8:00 AM – 10:00 PM | Thursday: 8:00 AM – 10:00 PM | Friday: 8:00 AM – 10:00 PM | Saturday: 8:00 AM – 10:00 PM | Sunday: 8:00 AM – 4:00 PM
